t,speedKmh,longAccel
0.0,85.04,0.11
0.1,85.05,0.03
0.2,85.15,0.28
0.3,85.14,-0.01
0.4,85.22,0.22
0.5,85.27,0.13
0.6,85.26,-0.02
0.7,85.34,0.20
0.8,85.32,-0.03
0.9,85.38,0.17
1.0,85.38,-0.02
1.1,85.38,-0.00
1.2,85.44,0.16
1.3,85.57,0.36
1.4,85.57,0.01
1.5,85.59,0.06
1.6,85.69,0.26
1.7,85.84,0.42
1.8,85.93,0.24
1.9,85.98,0.15
2.0,86.14,0.44
2.1,86.13,-0.03
2.2,86.26,0.38
2.3,86.30,0.09
2.4,86.31,0.02
2.5,86.31,0.01
2.6,86.35,0.10
2.7,86.48,0.36
2.8,86.49,0.04
2.9,86.58,0.24
3.0,86.67,0.27
3.1,86.72,0.14
3.2,86.80,0.22
3.3,86.80,-0.02
3.4,86.79,-0.02
3.5,86.81,0.05
3.6,86.91,0.29
3.7,86.97,0.16
3.8,87.01,0.11
3.9,87.10,0.24
4.0,87.16,0.18
4.1,87.20,0.10
4.2,87.32,0.35
4.3,87.43,0.30
4.4,87.46,0.07
4.5,87.54,0.24
4.6,87.62,0.21
4.7,87.76,0.39
4.8,87.87,0.31
4.9,87.91,0.09
5.0,88.06,0.44
5.1,88.07,0.01
5.2,88.12,0.16
5.3,88.24,0.33
5.4,88.25,0.03
5.5,88.32,0.19
5.6,88.31,-0.03
5.7,88.41,0.28
5.8,88.53,0.33
5.9,88.62,0.24
6.0,87.61,-2.81
6.1,86.49,-3.09
6.2,85.45,-2.90
6.3,84.38,-2.95
6.4,83.32,-2.96
6.5,82.23,-3.02
6.6,81.21,-2.83
6.7,80.21,-2.78
6.8,79.13,-3.01
6.9,78.08,-2.92
7.0,76.92,-3.22
7.1,75.87,-2.90
7.2,74.82,-2.93
7.3,73.83,-2.75
7.4,72.81,-2.84
7.5,71.69,-3.11
7.6,70.59,-3.06
7.7,69.54,-2.92
7.8,68.37,-3.24
7.9,67.29,-3.02
8.0,67.33,0.13
8.1,67.37,0.11
8.2,67.40,0.08
8.3,67.56,0.43
8.4,67.60,0.11
8.5,67.66,0.17
8.6,67.75,0.25
8.7,67.92,0.49
8.8,67.96,0.09
8.9,68.06,0.27
9.0,68.17,0.32
9.1,68.35,0.49
9.2,68.52,0.46
9.3,68.69,0.48
9.4,68.76,0.19
9.5,68.85,0.26
9.6,68.93,0.23
9.7,69.11,0.49
9.8,69.30,0.53
9.9,69.35,0.13
10.0,69.40,0.14
10.1,69.45,0.17
10.2,69.51,0.17
10.3,69.62,0.29
10.4,69.74,0.34
10.5,69.81,0.18
10.6,69.83,0.05
10.7,69.92,0.26
10.8,70.01,0.23
10.9,70.13,0.33
11.0,70.32,0.53
11.1,70.46,0.40
11.2,70.57,0.31
11.3,70.70,0.36
11.4,70.84,0.39
11.5,70.87,0.08
11.6,71.05,0.50
11.7,71.20,0.44
11.8,71.38,0.49
11.9,71.54,0.45
12.0,71.63,0.25
12.1,71.72,0.25
12.2,71.76,0.10
12.3,71.89,0.37
12.4,71.92,0.08
12.5,71.95,0.08
12.6,72.00,0.15
12.7,72.05,0.13
12.8,72.13,0.22
12.9,72.16,0.08
13.0,72.17,0.05
13.1,69.05,-8.67
13.2,65.92,-8.70
13.3,62.84,-8.57
13.4,59.69,-8.74
13.5,56.70,-8.31
13.6,53.66,-8.44
13.7,50.53,-8.68
13.8,47.43,-8.62
13.9,44.34,-8.58
14.0,41.26,-8.57
14.1,38.13,-8.69
14.2,35.13,-8.33
14.3,32.16,-8.25
14.4,29.10,-8.52
14.5,26.03,-8.51
14.6,22.90,-8.71
14.7,22.90,0.00
14.8,22.94,0.12
14.9,22.97,0.08
15.0,23.10,0.36
15.1,23.11,0.03
15.2,23.10,-0.04
15.3,23.25,0.43
15.4,23.33,0.21
15.5,23.34,0.02
15.6,23.42,0.22
15.7,23.41,-0.04
15.8,23.48,0.21
15.9,23.64,0.44
16.0,23.78,0.38
16.1,23.89,0.30
16.2,23.91,0.08
16.3,23.96,0.13
16.4,23.97,0.03
16.5,24.10,0.34
16.6,24.17,0.22
16.7,24.30,0.34
16.8,24.34,0.11
16.9,24.36,0.06
17.0,24.49,0.36
17.1,24.65,0.44
17.2,24.78,0.38
17.3,24.91,0.35
17.4,25.04,0.36
17.5,25.15,0.32
17.6,25.18,0.06
17.7,25.25,0.21
17.8,25.30,0.13
17.9,25.28,-0.04
18.0,25.27,-0.04
18.1,25.30,0.09
18.2,25.33,0.08
18.3,25.44,0.30
18.4,25.59,0.43
18.5,25.66,0.17
18.6,25.81,0.42
18.7,25.97,0.44
18.8,26.12,0.43
18.9,26.17,0.13
19.0,26.19,0.06
19.1,26.21,0.06
19.2,26.23,0.05
19.3,26.25,0.05
19.4,26.34,0.26
19.5,26.49,0.40
19.6,26.62,0.37
19.7,26.69,0.19
19.8,26.79,0.28
19.9,26.91,0.35
20.0,26.91,-0.01
20.1,27.01,0.28
20.2,27.16,0.40
20.3,27.28,0.34
20.4,27.40,0.33
20.5,27.47,0.19
20.6,27.48,0.04
20.7,27.60,0.34
20.8,24.15,-9.58
20.9,20.79,-9.35
21.0,17.45,-9.26
21.1,14.01,-9.55
21.2,10.58,-9.55
21.3,7.24,-9.28
21.4,3.86,-9.39
21.5,0.38,-9.66
21.6,0.00,-9.69
21.7,0.00,-9.67
21.8,0.00,-9.30
21.9,0.00,-9.35
22.0,0.00,-9.68
22.1,0.00,-9.34
22.2,0.00,-9.26
22.3,0.00,-9.42
22.4,0.00,-9.57
22.5,0.00,-9.48
22.6,0.00,-0.08
22.7,0.00,-0.14
22.8,0.12,0.34
22.9,0.18,0.17
23.0,0.22,0.11
23.1,0.34,0.32
23.2,0.36,0.07
23.3,0.47,0.29
23.4,0.56,0.26
23.5,0.54,-0.04
23.6,0.54,-0.02
23.7,0.53,-0.00
23.8,0.52,-0.03
23.9,0.58,0.14
24.0,0.57,-0.02
24.1,0.59,0.06
24.2,0.56,-0.08
24.3,0.67,0.31
24.4,0.68,0.03
24.5,0.71,0.08
24.6,0.76,0.14
24.7,0.87,0.30
24.8,0.89,0.06
24.9,1.00,0.31
25.0,1.04,0.10
25.1,1.08,0.12
25.2,1.12,0.11
25.3,1.07,-0.14
25.4,1.09,0.07
25.5,1.07,-0.06
25.6,1.02,-0.15
25.7,1.11,0.25
25.8,1.08,-0.06
25.9,1.12,0.09
26.0,1.19,0.21
26.1,1.24,0.13
26.2,1.24,0.01
26.3,1.28,0.11
26.4,1.33,0.13
26.5,1.42,0.24
26.6,1.38,-0.10
26.7,1.43,0.13
26.8,1.42,-0.03
26.9,1.41,-0.01
27.0,1.50,0.24
27.1,1.54,0.10
27.2,1.58,0.13
27.3,1.67,0.23
27.4,1.78,0.31
27.5,1.80,0.07
27.6,1.86,0.16
27.7,1.90,0.10
27.8,1.93,0.11
27.9,2.00,0.20
28.0,2.03,0.08
28.1,2.07,0.12
28.2,2.11,0.09
28.3,2.22,0.32
28.4,2.29,0.20
28.5,2.40,0.29
28.6,2.51,0.32
28.7,2.51,-0.02
28.8,2.55,0.13
28.9,2.67,0.32
29.0,2.77,0.27
29.1,2.74,-0.08
29.2,2.70,-0.09
29.3,2.73,0.07
29.4,2.69,-0.11
29.5,2.68,-0.03
29.6,2.64,-0.11
29.7,2.70,0.18
29.8,2.79,0.24
29.9,2.90,0.30
